,training set,tests,correct,incorrect,false positives,false negatives,correctness
0,82.0,8042.0,7733.4,308.6,273.4,35.2,96.16264610793334
1,163.0,7961.0,7711.36,249.64,213.96,35.68,96.86421303856301
2,244.0,7880.0,7655.56,224.44,198.24,26.2,97.15177664974621
3,325.0,7799.0,7597.84,201.16,189.4,11.76,97.42069496089242
4,407.0,7717.0,7531.64,185.36,179.44,5.92,97.59803032266421
5,488.0,7636.0,7457.52,178.48,167.76,10.72,97.66265060240963
6,569.0,7555.0,7375.2,179.8,170.04,9.76,97.62011912640635
7,650.0,7474.0,7299.92,174.08,166.08,8.0,97.67085897778965
8,732.0,7392.0,7223.28,168.72,161.76,6.96,97.71753246753245
9,813.0,7311.0,7143.96,167.04,160.24,6.8,97.71522363561756
10,894.0,7230.0,7067.52,162.48,157.6,4.88,97.7526970954357
11,975.0,7149.0,6987.16,161.84,158.4,3.44,97.73618687928379
12,1057.0,7067.0,6905.8,161.2,157.6,3.6,97.71897552002267
13,1138.0,6986.0,6825.12,160.88,157.28,3.6,97.69710850271971
14,1219.0,6905.0,6747.88,157.12,154.16,2.96,97.724547429399
15,1300.0,6824.0,6667.52,156.48,153.52,2.96,97.70691676436107
16,1382.0,6742.0,6587.84,154.16,152.08,2.08,97.71343814891723
17,1463.0,6661.0,6505.96,155.04,152.96,2.08,97.67242155832453
18,1544.0,6580.0,6426.88,153.12,150.64,2.48,97.67294832826747
19,1625.0,6499.0,6348.04,150.96,149.12,1.84,97.67718110478536
20,1707.0,6417.0,6266.04,150.96,149.12,1.84,97.64749883122953
21,1788.0,6336.0,6185.64,150.36,149.0,1.36,97.62689393939392
22,1869.0,6255.0,6191.32,63.68,62.32,1.36,98.98193445243804
23,1950.0,6174.0,6110.56,63.44,62.48,0.96,98.9724651765468
24,2032.0,6092.0,6029.2,62.8,61.84,0.96,98.96913985554825
25,2113.0,6011.0,5947.96,63.04,62.08,0.96,98.95125603061052
26,2194.0,5930.0,5867.36,62.64,61.84,0.8,98.94367622259695
27,2275.0,5849.0,5794.04,54.96,54.16,0.8,99.06035219695676
28,2356.0,5768.0,5713.04,54.96,54.16,0.8,99.04715672676839
29,2438.0,5686.0,5631.52,54.48,53.68,0.8,99.04185719310588
30,2519.0,5605.0,5550.24,54.76,53.96,0.8,99.02301516503121
31,2600.0,5524.0,5469.68,54.32,53.52,0.8,99.01665459811731
32,2681.0,5443.0,5389.4,53.6,52.8,0.8,99.01524894359729
33,2763.0,5361.0,5307.72,53.28,52.64,0.64,99.00615556799104
34,2844.0,5280.0,5226.72,53.28,52.64,0.64,98.99090909090908
35,2925.0,5199.0,5146.36,52.64,52.32,0.32,98.98749759569148
36,3006.0,5118.0,5065.36,52.64,52.32,0.32,98.97147323173114
37,3088.0,5036.0,4983.36,52.64,52.32,0.32,98.95472597299445
38,3169.0,4955.0,4902.52,52.48,52.32,0.16,98.94086781029264
39,3250.0,4874.0,4821.52,52.48,52.32,0.16,98.92326631103816
40,3331.0,4793.0,4740.52,52.48,52.32,0.16,98.90506989359483
41,3413.0,4711.0,4658.52,52.48,52.32,0.16,98.8860114625345
42,3494.0,4630.0,4577.52,52.48,52.32,0.16,98.86652267818576
43,3575.0,4549.0,4496.52,52.48,52.32,0.16,98.84633985491317
44,3656.0,4468.0,4415.52,52.48,52.32,0.16,98.82542524619517
45,3738.0,4386.0,4333.52,52.48,52.32,0.16,98.80346557227541
46,3819.0,4305.0,4252.68,52.32,52.32,0.0,98.78466898954703
47,3900.0,4224.0,4171.68,52.32,52.32,0.0,98.76136363636364
48,3981.0,4143.0,4090.68,52.32,52.32,0.0,98.73714699493121
49,4063.0,4061.0,4031.72,29.28,29.28,0.0,99.27899532134943
50,4144.0,3980.0,3946.56,33.44,27.52,5.92,99.15979899497488
51,4225.0,3899.0,3865.56,33.44,27.52,5.92,99.14234419081815
52,4306.0,3818.0,3784.56,33.44,27.52,5.92,99.124148768989
53,4387.0,3737.0,3725.0,12.0,4.16,7.84,99.67888680759968
54,4469.0,3655.0,3643.0,12.0,4.16,7.84,99.67168262653898
55,4550.0,3574.0,3566.64,7.36,1.6,5.76,99.79406827084499
56,4631.0,3493.0,3485.64,7.36,1.6,5.76,99.7892928714572
57,4712.0,3412.0,3404.8,7.2,1.44,5.76,99.78898007033996
58,4794.0,3330.0,3322.8,7.2,1.44,5.76,99.78378378378379
59,4875.0,3249.0,3246.76,2.24,1.92,0.32,99.93105570944907
60,4956.0,3168.0,3165.76,2.24,1.92,0.32,99.92929292929293
61,5037.0,3087.0,3084.76,2.24,1.92,0.32,99.92743764172336
62,5119.0,3005.0,3002.92,2.08,1.76,0.32,99.93078202995008
63,5200.0,2924.0,2921.92,2.08,1.76,0.32,99.92886456908346
64,5281.0,2843.0,2840.92,2.08,1.76,0.32,99.92683784734436
65,5362.0,2762.0,2759.92,2.08,1.76,0.32,99.9246922519913
66,5444.0,2680.0,2677.92,2.08,1.76,0.32,99.9223880597015
67,5525.0,2599.0,2596.92,2.08,1.76,0.32,99.91996921893035
68,5606.0,2518.0,2515.92,2.08,1.76,0.32,99.91739475774425
69,5687.0,2437.0,2434.92,2.08,1.76,0.32,99.91464915880181
70,5769.0,2355.0,2352.92,2.08,1.76,0.32,99.91167728237794
71,5850.0,2274.0,2271.92,2.08,1.76,0.32,99.90853122251539
72,5931.0,2193.0,2190.92,2.08,1.76,0.32,99.90515275877793
73,6012.0,2112.0,2109.92,2.08,1.76,0.32,99.90151515151516
74,6094.0,2030.0,2027.92,2.08,1.76,0.32,99.8975369458128
75,6175.0,1949.0,1946.92,2.08,1.76,0.32,99.89327860441252
76,6256.0,1868.0,1865.92,2.08,1.76,0.32,99.88865096359743
77,6337.0,1787.0,1784.92,2.08,1.76,0.32,99.88360380526021
78,6418.0,1706.0,1705.36,0.64,0.32,0.32,99.96248534583822
79,6500.0,1624.0,1623.36,0.64,0.32,0.32,99.96059113300493
80,6581.0,1543.0,1542.36,0.64,0.32,0.32,99.95852235904084
81,6662.0,1462.0,1461.36,0.64,0.32,0.32,99.95622435020519
82,6743.0,1381.0,1380.36,0.64,0.32,0.32,99.95365677045618
83,6825.0,1299.0,1298.36,0.64,0.32,0.32,99.95073133179369
84,6906.0,1218.0,1217.36,0.64,0.32,0.32,99.94745484400657
85,6987.0,1137.0,1136.84,0.16,0.0,0.16,99.985927880387
86,7068.0,1056.0,1055.84,0.16,0.0,0.16,99.98484848484848
87,7150.0,974.0,973.84,0.16,0.0,0.16,99.9835728952772
88,7231.0,893.0,893.0,0.0,0.0,0.0,100.0
89,7312.0,812.0,812.0,0.0,0.0,0.0,100.0
